Vocalbulary,Count
sh,1643
ksh,1346
sendmail,967
uname,874
ls,802
echo,764
movemail,568
generic,391
pwd,382
ln,371
sed,371
gs,319
cat,311
nawk,274
netscape,274
rm,240
whoami,237
virtex,227
ghostvie,222
dvips,218
driver,163
grep,153
date,150
MediaMai,142
true,136
tcpostio,124
xgvis,122
cfe,117
find,108
ugen,99
as1,98
lp,90
tset,89
stty,88
FIFO,75
make,73
Sqpe,70
LOCK,69
xwsh,60
mywsh,58
hostname,57
id,55
getopt,55
expr,54
gzip,54
post,54
wc,53
mkdir,51
ld_,48
touch,48
more,48
egrep,46
emacs-20,46
dev.moti,43
pq,42
chmod,42
xgobi,42
Slmclien,40
Slmhelpe,40
PLATFORM,40
acroread,39
tail,37
getpgrp,35
tcppost,34
xmodmap,34
xrdb,34
xdpyinfo,33
metamail,33
.xsessio,33
sort,32
netstat,31
gethost,31
download,31
less,31
rlogin,30
file,28
awk,28
help,27
tbl,24
rmdir,24
UNLOCK,24
nroff,22
ftp,21
xv,20
xcalenda,18
cpp,18
xset,17
xhost,17
reaper,17
xclock,16
4Dwm,16
ispell,16
xprop,16
xdm,16
diff,14
basename,12
spell,12
dpost,12
troff,12
neqn,12
eqn,12
man,11
led,11
col,10
ps,10
rsh,10
mkpts,10
finger,9
convert,9
telnet,9
xpaint,8
compress,8
tput,7
ul,5
tcsh,5
df,5
which,4
deroff,4
xdiff,4
enscript,3
rcp,3
ppost,3
dev.post,3
du,3
cut,3
head,2
shar,2
uudecode,2
sgihelp,2
jot,2
whereis,1
frm,1
postprin,1
ps2pdf,1
scheme,1
sleep,1
ex,1
xmkmf,1
top,1
xemacs-1,1
imake,1
xdvi.rea,1
xdvi,1
hpost,1
bc,1
unpack,1
unzip,1
whois,1
uuencode,1
who,1
mail,1
