Vocalbulary,Count
popper,9662
netscape,1755
generic,265
cat,251
ls,219
sed,193
hostname,183
date,176
ksh,175
whoami,124
awk,109
rlogin,92
rm,82
tcpostio,76
sh,73
true,69
ln,57
stty,57
grep,57
lp,56
nawk,50
FIFO,48
man,44
join,40
LOCK,39
find,38
id,37
getopt,36
sort,34
post,34
less,32
get.line,30
xterm,28
col,28
head,27
extract_,25
expr,23
file,23
ping,20
nroff,20
getpgrp,20
neqn,20
download,20
tbl,20
gethost,19
tcsh,19
sendmail,18
tcppost,18
which,18
tail,17
rcp,17
finger,17
get_acc_,15
launchef,14
UNLOCK,12
rmdir,12
acroread,12
ppost,12
ftp,11
unpack,10
tset,10
line.pro,10
mail,9
get_line,9
MediaMai,8
chmod,8
acc.prof,8
tput,8
wc,8
uname,7
ssh,7
htn_date,7
cpp,7
pq,6
touch,6
xwsh,6
mkpts,6
mkdir,6
make_hig,6
gcc,6
tee,5
telnet,5
cut,5
bc,5
uniq,5
env,5
netstat,5
xrdb,5
hpost,4
xsetroot,4
get_acc,4
xhost,4
postprin,4
reaper,4
a.sl,4
userenv,4
wait4wm,4
xauth,3
ascii,3
top,3
date-dif,3
cc1,3
du,3
4Dwm,3
getconf,3
nm,2
xmodmap,2
ld_,2
xdm,2
ld,2
aa.new.n,2
as,2
basename,2
emacs-20,2
showps,2
toolches,2
std_date,2
ex,2
a.out,1
tar,1
lpdsend,1
xlsclien,1
diff,1
dc,1
kill,1
sfplay,1
aa.new.s,1
hoc,1
print_us,1
tektroni,1
ps,1
echo,1
frm,1
gre,1
gr_top,1
gzip,1
