Vocalbulary,Count
netscape,1184
sh,1157
launchef,703
generic,633
hostname,627
rm,584
cat,489
ksh,467
q_test,459
gettxt,428
ls,343
.xinitrc,337
date,282
arch,248
tty,247
tcpostio,234
xset,225
xterm,206
true,203
tset,202
sed,201
stty,190
MediaMai,181
sendmail,178
telnet,176
endsessi,162
ln,155
tellwm,151
lp,138
nawk,137
virtex,129
LOCK,127
emacs-20,126
FIFO,125
grep,120
find,113
post,112
tr,112
more,106
xprop,101
cpp,100
xdvi,93
xdvi.rea,93
q_eg,81
id,74
getopt,74
gcc,72
expr,69
ld_,65
getpgrp,64
gethost,64
tcppost,63
a.out,63
awk,62
file,62
download,60
sleep,60
xrdb,59
UNLOCK,58
mkdir,58
rmdir,58
reaper,58
whoami,57
toolches,57
xconfirm,57
4Dwm,57
xbiff,55
netstat,55
gs,55
xdm,54
q_egtest,51
mplotx11,48
uname,46
xclock,46
driver,41
metamail,40
cfe,40
as1,37
ugen,37
cc1,36
dvips,34
man,33
as,27
ld,27
tcsh,27
col,26
nm,25
maple.sy,21
ppost,18
faces,14
finger,13
ex,12
pine,11
tail,10
Mail,10
chmod,10
mail,10
unpack,9
xwsh,9
rsh,9
nroff,8
ssh,8
xauth,8
tbl,8
neqn,8
ftp,7
mapleTTY,7
touch,7
acroread,6
bc,6
showps,6
hpost,6
postprin,6
mplotps,5
make,4
rlogin,4
mplotcha,4
shownona,4
tar,4
rcc,4
quota,4
ps,4
lcc,4
tput,3
env,3
pq,2
ispell,2
kill,2
userenv,2
wait4wm,2
less,2
xsetroot,2
mkpts,2
moviepla,2
xhost,2
compress,1
xrn,1
basename,1
passwd,1
enscript,1
unzip,1
lpr,1
setup,1
pr,1
last,1
