Vocalbulary,Count
netscape,3114
sh,1141
popper,888
generic,820
sendmail,691
ls,599
true,443
cat,398
date,341
MediaMai,278
rm,271
pq,220
hostname,210
spell,206
sed,203
tcpostio,202
lp,200
FIFO,178
nawk,176
grep,175
[,169
launchef,156
id,154
getopt,154
find,152
sort,146
tail,140
ping,129
telnet,125
dig,107
ln,102
LOCK,96
more,88
post,82
tset,79
gethost,77
uname,72
expr,71
deroff,68
virtex,63
ftp,61
pwd,61
stty,60
fxstat,57
file,57
download,54
ex,52
rlogin,52
tcppost,49
awk,49
getpgrp,47
rmdir,45
UNLOCK,44
col,42
dvips,41
echo,40
cut,38
mkdir,37
tr,36
man,35
tracerou,35
gs,34
ps,32
mkpts,32
vacation,32
gettxt,32
test,27
frm,26
xterm,25
acroread,24
tcsh,24
neqn,20
nroff,20
tbl,20
wc,18
whois,18
xwsh,17
nslookup,17
fgrep,17
ksh,17
env,17
endsessi,16
ppost,15
touch,14
metamail,14
toolches,14
less,14
userenv,14
cpp,14
wait4wm,14
xhost,14
netstat,14
xrdb,14
xsetroot,14
reaper,14
unpack,13
4Dwm,13
lc,12
xdm,12
bibtex,12
mc,12
tput,12
tellwm,11
df,11
whereis,11
mail,10
movemail,10
sleep,9
finger,9
xemacs-1,9
fxvision,8
flog,8
xconfirm,8
xprop,8
pr,6
unzip,6
ppq,6
mp,5
ghostvie,5
bc,5
tty,5
webmagic,5
hpost,5
postprin,5
fxprint,4
chmod,4
vsimsg,4
vsiupdst,4
xfig,4
gzip,4
basename,4
fig2dev,3
last,3
compress,3
ppqcomma,3
mimencod,3
ed,3
faces,3
ld_,3
named,3
shownona,3
rpcinfo,2
which,2
fxsend,2
cpio,2
uudecode,2
tel,2
driver,2
lpq,2
sgihelp,2
who,2
su,2
tar,2
as1,1
cfe,1
what,1
arp,1
pftp,1
w,1
drf,1
nfsstat,1
make,1
kill,1
showprod,1
head,1
sprog,1
swap,1
fxstatus,1
fxshut,1
fxfilter,1
p,1
tifftofa,1
top,1
eptofax,1
ugen,1
fx,1
