Vocalbulary,Count
netscape,2551
sh,1218
ls,597
launchef,418
generic,416
cat,362
sed,319
driver,305
ksh,304
more,299
rm,270
virtex,268
sendmail,264
make,215
cfe,184
date,180
col,180
gettxt,172
hostname,168
tcpostio,160
ln,152
ld_,145
gcc,136
mc,134
lc,134
as1,129
ugen,129
neqn,116
nawk,116
tbl,116
nroff,116
pwd,116
tcsh,115
emacs-20,115
true,103
MediaMai,102
tr,100
tput,94
grep,92
lp,89
unpack,87
ssh,87
endsessi,86
cpp,86
tellwm,84
FIFO,82
LOCK,82
xterm,82
find,81
rootless,74
compress,72
uname,72
post,72
xauth,69
pcst,69
bdftopcf,68
xwsh,61
expr,58
netstat,57
mkpts,56
mail,55
rmdir,54
mkdir,52
finger,51
xclock,50
man,49
id,48
calendar,48
getopt,48
env,46
ex,44
xset,44
cc1,43
wait4wm,43
userenv,43
xconfirm,43
xhost,43
xrdb,43
xsetroot,43
reaper,43
xdm,42
xprop,42
4Dwm,42
csh,42
file,42
toolches,41
awk,41
getpgrp,41
tcppost,41
ps,40
download,40
gethost,40
as,39
UNLOCK,39
sort,38
metamail,36
gs,35
xdvi,28
xdvi.rea,28
nm,25
ld,25
configur,24
xman,23
ul,22
Mail,20
pcst1,19
ghostvie,18
dvips,16
ppost,15
ispell,15
fig2dev,14
rlogin,13
acroread,12
engine,12
pr,12
xmh,11
mailbox,11
psnr,11
sdec,10
enc,10
who,10
faces,10
gengraph,9
join,9
basename,8
movemail,8
talk,8
top,8
gdb,7
diff,7
pcst.pur,7
lpq,6
purify.s,6
dirname,6
showps,6
egrep,6
du,6
touch,5
states,5
xcalc,5
rtslave,5
bc,5
nscal,5
mailp,5
p,5
xv,5
hpost,5
xcalenda,5
postprin,5
dbx,4
dbxpcs,4
enscript,4
stty,4
sgihelp,4
mailx,4
ar,4
test,3
xfs,3
cdec,3
xloadima,3
agrep,3
echo,3
richtext,3
tar,3
pg,3
rmail,3
ftp,3
mp,3
false,3
jot,3
shownona,3
spell,3
tail,3
hype,2
mimencod,2
xlsfonts,2
lpr,2
orig,2
xfig,2
9term,2
yppasswd,2
eqn,2
which,2
capture,1
chmod,1
deroff,1
samterm,1
gzip,1
gimp,1
mesg,1
sam,1
mkfontdi,1
cmp,1
clock,1
w,1
xbiff,1
webmagic,1
passwd,1
perl,1
whoami,1
quota,1
cal,1
expreser,1
windows,1
telnet,1
