Vocalbulary,Count
sh,2386
sed,1187
rshd,897
cat,830
echo,701
gcc,509
nawk,498
awk,496
ls,487
ln,387
rsh,350
gre,331
ping,276
uname,254
cpp,253
cc1,241
as,241
date,225
make,213
rcp,208
rm,183
sort,181
ama.chec,174
cpio,173
do.hourl,168
test,152
driver,146
generic,134
as1,134
ugen,134
cfe,134
uopt,134
sendmail,105
vim,97
hostname,89
popper,86
wc,85
mc,73
xwsh,70
pwd,70
netscape,68
ncdquery,62
grep,60
heartche,57
tcpostio,56
lc,54
[,48
touch,41
MediaMai,35
addrinfo,29
field,29
true,29
FIFO,28
rlogin,27
ld_,27
z,27
chmod,27
find,26
LOCK,26
virtex,26
w3c,26
p,25
lp,25
stty,23
gs,22
ghostvie,20
post,20
dvips,19
killall,16
ld,14
UNLOCK,14
download,14
file,14
gethost,14
expr,14
rmdir,14
tcppost,13
id,13
getpgrp,13
getopt,13
nm,12
mailx,12
xrdb,12
4Dwm,12
co,11
faces,11
reaper,11
xsetroot,11
xhost,11
xdm,10
xmodmap,10
hinv,10
appdefpa,10
arp,9
f,9
xprop,9
sleep,9
seq,8
nslookup,8
ama_volu,8
diff,7
xmessage,7
gdiff,7
which,6
comm,6
tr,5
ar,5
uniq,5
tel,5
volumes.,5
ci,4
auplay,4
rcsdiff,4
dbxpcs,4
m,4
dbx,4
ps,4
launchef,4
gettxt,4
netstat,4
emrvol,4
egrep,4
env,3
psu,3
tset,3
ppost,3
emacs-20,3
soundpla,3
kill,2
su,2
ksh,2
last,2
tellwm,2
dvipost,2
java,2
hpost,2
endsessi,2
fmt,2
xterm,2
==,2
=p,1
who,1
wait4wm,1
xconfirm,1
w,1
userenv,1
crontab,1
mkpts,1
W,1
basename,1
qpage,1
pr,1
seecalls,1
byte_rev,1
sfplay,1
bc,1
showfile,1
postprin,1
df,1
du,1
pagemail,1
tcsh,1
tee,1
telnet,1
dirname,1
toolches,1
do.trit,1
compress,1
.java_wr,1
