Vocalbulary,Count
sh,2344
gs,1022
more,996
cat,964
generic,883
echo,693
ex,585
ls,532
date,423
rm,403
sed,359
mailx,352
tcpostio,333
sendmail,318
mc,241
lc,241
ln,208
lp,173
LOCK,171
FIFO,162
true,158
troff,152
tbl,152
eqn,152
pwd,124
post,116
nawk,114
grep,104
expr,104
ghostvie,98
gethost,95
hostname,93
id,88
download,87
find,87
getopt,87
getpgrp,86
file,86
awk,86
Sqpe,86
tcppost,85
uname,82
rmdir,81
dpost,76
ppost,75
UNLOCK,69
ksh,69
netscape,65
mkdir,61
movemail,44
acroread,42
driver,33
tset,32
MediaMai,32
stty,32
pr,29
test,27
hpost,25
postprin,25
bc,25
pq,24
cfe,22
as1,21
ugen,20
nroff,18
xgvis,17
whoami,17
ld_,13
less,12
make,12
sort,12
spell,10
rlogin,10
emacs-20,10
touch,9
mimencod,9
netstat,8
showdoc,8
split,8
launchef,8
basename,7
xrdb,7
xdpyinfo,6
.xsessio,6
sprog,5
man,5
xwsh,5
[,5
cpp,5
doc2ps,5
drf,5
sleep,4
xmodmap,4
xcalenda,4
col,4
mywsh,4
perl,4
reaper,3
show,3
xhost,3
tcsh,3
chmod,3
tail,3
xclock,2
4Dwm,2
virtex,2
whereis,2
whois,2
unpack,2
xdm,2
xgobi,2
Slmclien,2
xprop,2
PLATFORM,2
xset,2
Slmhelpe,2
tput,2
diff,2
gre,2
gzip,2
exrecove,2
expreser,2
dvips,2
qk,2
ed,2
ci,1
env,1
xterm,1
xsetroot,1
frm,1
mkpts,1
xmkmf,1
e,1
enscript,1
metamail,1
xauth,1
gv,1
Xsession,1
wait4wm,1
userenv,1
ftp,1
imake,1
gdb,1
