Vocalbulary,Count
generic,1541
sh,1150
cat,740
date,690
rm,584
tcpostio,584
true,577
ls,480
p,458
sed,449
ln,434
mailx,329
lp,317
LOCK,304
FIFO,303
hostname,282
sendmail,264
find,235
echo,198
grep,190
ex,187
configur,185
id,167
nawk,167
getopt,165
launchef,164
expr,153
download,152
file,152
awk,152
getpgrp,152
mkdir,147
tcppost,146
gethost,146
UNLOCK,146
rmdir,144
hpost,140
ppost,132
[,123
dpost,117
dvipost,113
troff,78
chmod,78
eqn,74
virtex,74
tbl,74
stty,71
ar,65
driver,61
dvips,58
gettxt,52
test,48
postprin,44
bc,44
tr,43
pr,41
fec,39
be,38
pwd,32
gmake,30
xwsh,29
sort,28
spell,28
endsessi,26
post,24
pq,24
cfe,22
inline,20
xhost,19
reaper,19
sleep,19
xterm,19
xsetroot,19
xrdb,19
cpp,19
4Dwm,19
env,19
userenv,19
wait4wm,19
mkpts,18
toolches,17
xfig,16
xdm,15
config.s,14
sprog,14
faces,13
tellwm,13
xprop,13
xconfirm,13
detex,13
xdvi.rea,12
xdvi,12
tail,11
ld_,10
fig2dev,9
uname,8
netscape,6
config.g,6
lpdsend,6
tektroni,6
m4,4
egrep,4
make,4
autoconf,3
touch,3
mc,3
ghostvie,2
lc,2
gs,2
ksh,2
conftest,2
netstat,2
more,1
drf,1
mimencod,1
lpr,1
cmp,1
emacs-20,1
fgrep,1
=,1
tel,1
