Vocalbulary,Count
sh,2497
more,1009
generic,901
csh,850
cat,643
sendmail,640
rm,605
ls,601
MediaMai,551
date,372
toolches,369
tcpostio,343
mail,253
expr,238
launchef,206
popper,188
ln,185
sed,169
lp,157
post,156
LOCK,152
true,143
egrep,138
FIFO,137
gethost,121
hostname,111
grep,100
download,97
nawk,97
find,94
xterm,85
awk,82
gs,80
file,80
getopt,80
pq,80
id,79
mimencod,79
ps,77
getpgrp,76
tcppost,74
lmstat,72
netscape,68
java,65
rmdir,55
xrdb,55
kill,54
wait4wm,54
xhost,54
env,54
col,54
cpp,54
userenv,54
xsetroot,54
man,54
reaper,54
4Dwm,53
mkpts,51
mp,50
dirname,50
tr,46
emacs-20,42
rlogin,42
UNLOCK,41
pwd,38
basename,36
xdm,35
finger,33
.java_wr,32
ul,27
tbl,26
neqn,26
nroff,26
uname,24
tcsh,22
ghostvie,21
metamail,20
stty,20
unpack,19
acroread,18
showps,18
mkdir,17
javac,17
touch,17
whoami,15
xconfirm,14
false,14
virtex,13
matlab_l,12
matlab,12
gawk,12
MakeTeXP,12
arch,12
telnet,10
dvips,10
gettxt,8
sleep,8
tail,8
uudecode,7
lpq,7
ksh,7
netstat,6
test,6
spell,6
sort,6
ftp,5
convert,5
dvipost,4
shownona,4
gsftopk,4
endsessi,4
chmod,4
xdvi,3
xdvi.rea,3
tput,3
sprog,3
detex,3
drf,3
lpdsend,2
talk,2
sgihelp,2
faces,2
xloadima,2
cal,2
webmagic,2
tektroni,2
whois,2
hpost,2
ping,1
Xsession,1
jot,1
quota,1
hexbin,1
gzip,1
richtext,1
ex,1
co,1
lpr,1
