Vocalbulary,Count
gcc,2050
nawk,1088
uname,1044
ls,649
ex,635
cpp,601
cc1,593
as,546
make,483
ld_,471
ld,469
nm,461
sed,388
csh,353
cat,313
enc,281
Mail,279
sh,267
generic,241
hostname,240
sendmail,219
more,206
true,167
psnr,164
rm,145
tput,143
finger,119
sdec,113
date,102
ln,100
netscape,98
grep,81
xv,71
lp,70
ksh,69
lmstat,66
virtex,65
cdec,65
expr,57
FIFO,55
id,53
getopt,53
find,52
stty,52
tcpostio,48
dvips,47
xterm,45
vinay,37
tail,35
LOCK,32
post,32
mail,31
gs,31
rlogin,30
which,28
a.out,28
launchef,28
pwd,26
cmex,26
gdb,26
gettxt,24
mkdir,22
awk,21
pq,20
less,19
mailx,18
col,18
tar,17
dec,17
file,17
man,16
spell,16
test,16
getpgrp,16
sort,16
tcppost,16
ftp,16
rmdir,14
tty,14
download,12
endsessi,12
gethost,12
gawk,11
matlab,11
UNLOCK,11
arch,11
matlab_l,11
gzip,10
ul,9
sprog,8
unpack,8
MediaMai,8
detex,8
lpq,8
ghostvie,7
acroread,6
tellwm,6
xconfirm,6
netstat,6
cmp,5
xsetroot,5
xrdb,5
toolches,5
touch,5
mkpts,4
frm,4
xclock,4
xhost,3
xprop,3
wait4wm,3
userenv,3
xdvi.rea,3
xdvi,3
xdm,3
4Dwm,3
rusers,3
reaper,3
dvipost,3
env,3
uopt,2
as1,2
cal,2
cfe,2
compress,2
driver,2
who,2
rup,2
fastmail,2
lpr,2
ftp.orig,2
ugen,2
tftp,2
rftp,2
readmsg,2
quota,2
getconf,2
ping,1
xcalc,1
driverwr,1
vc,1
diff,1
dviselec,1
chmod,1
top,1
hpost,1
bibtex,1
basename,1
faces,1
