Vocalbulary,Count
movemail,1150
netscape,1103
ls,868
csh,734
generic,674
sendmail,583
sh,567
cat,514
launchef,486
hostname,462
mail,317
date,284
tcsh,251
rm,248
rshd,233
rlogin,232
tset,232
rdistd,231
finger,227
stty,227
true,194
gettxt,184
ln,181
emacs-20,174
tcpostio,166
tput,158
virtex,154
grep,148
gs,147
lp,130
sed,124
FIFO,121
LOCK,121
more,121
post,102
expr,100
nawk,99
resize,99
ghostvie,96
cpp,95
xrdb,95
find,92
endsessi,92
tellwm,90
pwd,87
netstat,73
gethost,71
getopt,69
id,69
xwsh,68
download,68
xhost,60
getpgrp,60
file,57
awk,57
xterm,53
mkdir,51
man,50
rmdir,49
env,48
wait4wm,48
reaper,48
userenv,48
xsetroot,48
kill,48
toolches,48
UNLOCK,48
ps,47
xdm,47
4Dwm,47
mkpts,47
xprop,46
xconfirm,46
tcppost,42
xclock,37
lmstat,36
dvips,29
unpack,28
ul,28
faces,28
col,28
xdvi,28
xdvi.rea,28
pq,22
maple.sy,21
uname,20
tektroni,19
lpdsend,19
xbiff,19
ppost,18
chmod,15
touch,14
telnet,11
acroread,11
gzip,10
compress,10
lks,9
tail,9
tar,9
nslookup,7
sleep,7
xmaplev5,7
dirname,7
arch,6
matlab,6
bc,6
hpost,6
postprin,6
gawk,6
matlab_l,6
ex,5
aacdec,5
MakeTeXP,4
ispell,4
ping,4
aiffplay,4
egrep,4
uuencode,3
MediaMai,3
uudecode,3
soundpla,3
bibtex,3
virmf,2
gftopk,2
xfig,2
pr,2
df,2
xcalc,2
which,2
whereis,2
ssh,2
xauth,1
whoami,1
nscal,1
f2ps,1
lpr,1
head,1
xv,1
