Vocalbulary,Count
gcc,2211
ksh,1175
uname,1100
nawk,1072
cpp,1037
cc1,1007
as,989
rm,907
ds_ar,749
sh,562
date,399
Archie,307
ld_,297
make,270
ld,174
nm,168
time,167
cat,165
btcreat,160
m4,159
v10sort,138
btbuild,138
Reducyr,104
Tracy,99
sendmail,96
R,84
ls,84
ln,77
Stat_Ind,66
Sizup,63
sed,49
netscape,47
grep,44
ex,34
pwd,32
xupdate,31
cut,30
generic,30
stty,25
mailx,22
mesg,21
head,21
rlogin,20
ar,20
expr,20
awk,19
test,19
wc,19
touch,17
more,16
hostname,16
launchef,16
who,14
[,13
true,13
echo,13
x3270,12
popper,11
sort,11
engine,11
5836.exe,10
rsh,9
driver,9
mc,8
lc,8
dirname,7
MediaMai,7
id,7
backtalk,7
tset,7
purify.s,7
DC-prn,7
gethost,7
8708.exe,7
5650.exe,7
lp,6
FIFO,6
fecc,6
find,6
tcpostio,6
rcp,6
tr,6
getopt,5
rshd,5
payphone,5
cxwsh,5
chmod,5
ed,5
xterm,5
gettxt,4
tail,4
netstat,4
post,4
yacc,3
xrdb,3
spell,3
.xsessio,3
cmp,3
download,3
ipeek,3
gzip,3
LOCK,3
mkdir,3
as1,2
field,2
comma.te,2
cfe,2
xhost,2
sleep,2
window_t,2
be,2
endsessi,2
ugen,2
xsetroot,2
file,2
getpgrp,2
reaper,2
gre,2
pq,2
8117.exe,2
ping,2
mimencod,2
tellwm,2
UNLOCK,1
Squirrel,1
appdefpa,1
mkpts,1
xargs,1
xclock,1
xconfirm,1
xdm,1
wait4wm,1
xprop,1
OLI.sh,1
xwsh,1
7105.exe,1
xmodmap,1
dbx,1
userenv,1
basename,1
nm_elf,1
less,1
4Dwm,1
finger,1
rmdir,1
env,1
sfstdgen,1
edg_prel,1
dig,1
diff,1
deroff,1
dbxpcs,1
tcppost,1
toolches,1
catdoc,1
ypcat,1
