Vocalbulary,Count
popper,9547
generic,546
cat,344
sh,307
ls,267
date,250
true,247
ksh,188
sed,165
tcpostio,158
lp,139
rm,136
ln,128
FIFO,107
hostname,105
LOCK,100
nawk,99
more,97
ppost,93
find,91
getopt,89
id,89
grep,80
awk,80
man,78
col,64
rexecd,60
rshd,56
expr,53
echo,53
getpgrp,50
tcppost,49
file,48
unpack,46
gethost,45
download,41
UNLOCK,32
rmdir,32
ul,31
tail,31
postprin,31
hpost,31
bc,31
nroff,28
gre,26
post,26
sendmail,25
neqn,24
tbl,24
reaper,21
env,21
xhost,21
toolches,21
xterm,21
cpp,21
xsetroot,21
xrdb,21
rcp,20
userenv,20
4Dwm,20
mkpts,20
wait4wm,20
rsh,18
wc,16
xwsh,15
MediaMai,14
test,14
[,12
cpio,10
tar,9
sort,9
inc,8
field,8
ama.chec,8
launchef,8
chmod,7
du,7
xmh,6
mp,6
netscape,6
pwd,5
vim,5
mailx,5
touch,5
mc,5
scan,4
xman,4
mhl,3
comm,3
do.hourl,3
mail,3
z,3
sleep,3
ps,3
spell,3
mhn,3
w3c,2
heartche,2
stty,2
appdefpa,1
compress,1
convert,1
xmodmap,1
deroff,1
xdm,1
tektroni,1
hinv,1
install-,1
lpdsend,1
su,1
netstat,1
rmm,1
tr,1
==,1
top,1
mkdir,1
troff,1
