Vocalbulary,Count
netscape,1607
popper,1060
generic,1022
cat,892
ls,871
ksh,809
sh,519
xterm,479
date,477
expr,414
tcpostio,365
rm,361
ex,270
ln,262
true,245
sed,227
launchef,196
lp,185
LOCK,178
grep,176
hostname,176
gs,168
FIFO,160
gettxt,153
post,146
acroread,145
uname,139
gethost,117
id,116
nawk,111
file,103
rlogin,103
awk,101
download,98
getopt,95
find,94
getpgrp,89
tcppost,89
endsessi,76
man,74
ppost,72
sendmail,66
rmdir,61
UNLOCK,59
pq,58
tellwm,56
crypt,55
tput,50
rshd,50
ping,48
netstat,48
more,45
ghostvie,43
xhost,42
col,41
xconfirm,39
telnet,38
bc,36
unpack,35
showps,34
env,33
xt,33
ul,33
mkpts,32
nscal,32
wait4wm,32
userenv,32
reaper,32
xsetroot,32
xrdb,32
cpp,32
4Dwm,31
toolches,31
sort,31
xclock,28
xprop,28
xdm,28
mkdir,27
calldd,26
basename,24
postprin,24
hpost,24
echo,22
ftp,22
ps,22
gzip,20
driver,20
rsh,18
ddtest,16
cfe,16
ld_,14
cal,14
rcp,12
touch,10
ugen,10
as1,10
faces,9
cpio,9
ama.chec,9
mail,8
sleep,7
df,7
chmod,7
MediaMai,7
whereis,7
tail,6
tbl,6
nroff,6
neqn,6
compress,6
unzip,4
do.hourl,4
mimencod,4
rup,3
test,3
maple.sy,3
heartche,3
tar,3
tr,2
tracerou,2
1.1,2
1.2,2
metamail,2
gre,2
mailx,2
make,2
fig2dev,2
sam,2
samterm,2
Configur,1
xrn,1
Mosaic,1
ar,1
du,1
9term,1
xmaplev5,1
xman,1
dirname,1
1.3,1
xfig,1
sysinfo,1
hype,1
getans,1
stty,1
less,1
lks,1
moviepla,1
nohup,1
perl,1
printf,1
showprod,1
strings,1
xv,1
