Vocalbulary,Count
sendmail,1493
sh,1210
generic,1208
ls,831
cat,760
MediaMai,517
date,505
netscape,489
rm,476
tcpostio,472
true,424
ln,283
sed,246
lp,240
LOCK,237
bash,235
lmstat,222
expr,209
FIFO,205
hostname,199
launchef,190
nawk,158
more,149
ppost,147
uname,137
post,136
gethost,129
awk,125
grep,125
id,124
download,123
getopt,121
find,120
getpgrp,119
file,117
tcppost,116
telnet,95
driver,90
stty,89
cfe,88
gs,86
as1,84
uopt,84
ugen,84
UNLOCK,83
virtex,83
rmdir,83
pwd,76
xterm,74
less,64
mimencod,56
postprin,49
bc,49
hpost,49
xdvi,44
xdvi.rea,44
csh,40
xemacs-1,39
matlab_l,38
gawk,38
arch,37
matlab,36
uudecode,34
mailx,32
egrep,31
gettxt,29
showps,22
toolches,21
col,20
xv,19
acroread,18
mkdir,18
ftp,17
echo,17
ex,17
mc,16
man,16
lc,16
mail,15
xrdb,14
cpp,14
endsessi,14
dvips,13
finger,11
ps,11
touch,11
maple.sy,10
ul,10
xhost,10
fig2dev,10
make,8
rlogin,8
tellwm,8
xconfirm,8
wait4wm,7
gzip,7
userenv,7
xsetroot,7
reaper,7
fm,7
env,7
mkpts,7
netstat,7
tr,6
xprop,6
xdm,6
4Dwm,6
desktopM,6
xfig,5
tail,5
unpack,5
nedit,5
lks,4
nroff,4
Sqpe,4
ghostvie,4
gp,4
neqn,4
xwsh,4
tbl,4
talk,4
sleep,3
basename,3
du,3
xclock,3
dirname,3
lpr,3
nslookup,3
lpdsend,2
a.out,2
tektroni,2
ld_,2
xmaplev5,2
pr,2
whoami,2
compress,2
sgihelp,2
faces,2
metamail,2
imgview,2
tar,1
nscal,1
xmaplev4,1
false,1
top,1
webmagic,1
local.Sq,1
ping,1
printf,1
