Vocalbulary,Count
sh,3575
tail,2486
fgrep,2404
rshd,792
grep,515
cat,496
nawk,443
sed,284
pr,267
rsh,232
expr,209
echo,189
ls,189
sort,173
date,141
test,103
mailx,103
netscape,103
rm,96
uname,88
find,82
vim,80
awk,74
compress,72
do.priso,71
generic,71
mc,59
lc,55
bindkey,54
prison_r,54
launchef,48
gcc,44
sendmail,42
tset,40
stty,40
hostname,39
wc,36
gettxt,33
xwsh,31
cxwsh,31
ksh,30
cpp,30
tcpostio,28
prison_f,28
emacs-20,26
.xinitrc,24
[,24
tr,22
cc1,22
nm,20
ld_,20
ld,20
true,20
as,20
a.out,19
egrep,18
ln,17
xterm,17
xset,16
rcp,16
LOCK,15
more,14
rlogin,14
lp,14
tty,14
arch,14
FIFO,13
endsessi,12
MediaMai,12
tellwm,12
post,12
pq,12
scamp_pr,12
fmt,12
xprop,12
gs,11
gre,11
netstat,10
ghostvie,10
xdpyinfo,10
maple.sy,9
reaper,9
field,9
top,9
xrdb,9
telnet,8
xdm,8
4Dwm,8
tcppost,8
calendar,8
mimencod,8
file,7
gethost,7
getopt,7
download,7
trn,7
rmdir,7
getpgrp,7
id,7
xv,6
scamp_fi,6
xhost,6
worklist,6
scampdet,6
tel,6
metamail,6
calprog,6
UNLOCK,6
mkdir,6
doc2ps,5
uniq,5
make,5
man,5
xclock,5
xdvi,5
xdvi.rea,5
xmodmap,5
.xsessio,5
xconfirm,4
tbl,4
xbiff,4
whoami,4
which,4
cut,4
toolches,4
faces,4
pwd,4
java,4
nroff,4
sleep,4
neqn,4
eptofax,3
ppost,3
du,3
fx,3
mapleTTY,3
chmod,3
ul,3
showdoc,3
co,3
col,3
basename,2
cal,2
ipeek,2
seecalls,2
prison_p,2
show_fil,2
.java_wr,2
cpeek,2
dirname,2
showps,2
unpack,1
bc,1
hpost,1
Sqpe,1
prefix,1
aiffplay,1
kludgepl,1
env,1
pacdec,1
postprin,1
last,1
touch,1
prisoncs,1
demo,1
cpio,1
whois,1
w,1
