Vocalbulary,Count
cat,4635
nawk,2358
ls,1181
date,1077
cgiparse,544
my.ls,479
tcsh,433
htn_repo,350
cut,350
sh,294
sed,262
keep_up,236
flock,236
hightoll,145
grep,140
egrep,124
ln,118
ksh,117
sort,114
gcc,112
join,75
awk,67
rm,62
uname,60
htn_edit,47
cpp,45
cc1,43
awk.html,42
perl,42
extract_,40
sleep,40
hostname,40
print_do,37
findobj,37
print_us,37
as,35
head,33
sendmail,33
ld_,32
paste,30
augment_,30
make,29
more,25
chmod,25
launchef,24
tee,22
spec,21
get_acc,19
get_acc_,19
a.sl,19
driver,18
cfe,18
ld,17
mail,16
printf,16
ugen,15
my.ls.re,15
nm,15
as1,15
Mail,14
flex,14
ex,13
wc,12
tail,12
gzip,12
tes,12
stream_t,12
gettxt,12
tput,11
uniq,11
xwsh,11
msort,10
pq,10
mkpts,10
less,9
sqp_fill,8
bison,8
tbl,8
neqn,8
nroff,7
update,7
rsh,7
make_del,6
endsessi,6
tellwm,6
col,6
telnet,6
man,5
my.ls.2,5
bo_top,5
Sqpe,5
emacs-20,5
ps,5
bo_table,5
make_tod,4
Slmclien,4
xgobi,4
delta,4
generic,4
print_ca,4
stty,3
identify,3
xprop,3
xconfirm,3
4Dwm,3
PLATFORM,3
xdm,3
toolches,3
bash,3
Slmhelpe,3
wait4wm,2
bo_rep_t,2
bo_rep_c,2
bo_rep,2
xterm,2
use_abus,2
userenv,2
bb_rep,2
xsetroot,2
bb_rep_t,2
xrdb,2
bb_rep_n,2
xhost,2
rcp,2
kill,2
post,2
find_RT,2
lp,2
env,2
LOCK,2
orig_sca,2
get_line,2
dev.post,2
mailx,2
find,2
convert,2
profile,2
gs,2
reaper,2
resize,2
getopt,1
justlex,1
gdb,1
led,1
force_up,1
getpgrp,1
id,1
bo_type,1
expr,1
file,1
mkdir,1
true,1
faces,1
rlogin,1
test,1
npasplit,1
bb_rep_f,1
tcppost,1
dev.X11,1
stream_b,1
bo_rep_f,1
shelpMot,1
help,1
