Vocalbulary,Count
generic,1196
sh,908
cat,804
ls,692
netscape,567
sendmail,509
date,505
hostname,490
ex,423
true,414
tcpostio,414
ksh,407
rm,382
launchef,300
tty,299
stty,298
ln,254
xterm,248
lp,235
gs,233
more,229
MediaMai,224
LOCK,216
sed,214
FIFO,208
virtex,177
gettxt,168
post,150
test,147
sort,146
spell,146
nawk,136
find,128
grep,127
getopt,127
id,127
expr,124
gethost,121
ghostvie,116
download,114
getpgrp,108
file,102
awk,102
tcppost,102
dvips,85
endsessi,84
xrdb,83
xsetroot,83
cpp,82
ppost,81
tellwm,80
rmdir,79
UNLOCK,77
sprog,73
detex,61
mkdir,59
mkpts,43
xconfirm,43
xhost,43
reaper,42
userenv,42
env,42
wait4wm,42
toolches,41
4Dwm,41
xdm,40
xclock,40
xprop,40
tr,29
bc,27
hpost,27
postprin,27
tcsh,23
netstat,21
acroread,18
tail,14
pq,14
metamail,12
telnet,12
drf,12
rlogin,12
help,10
touch,10
uname,10
tset,9
tput,8
mail,8
sleep,7
chmod,7
ssh,7
xwsh,6
xauth,6
lpdsend,6
tektroni,6
Slmclien,4
showps,4
basename,4
Slmhelpe,4
Sqpe,4
PLATFORM,4
gzip,4
ftp,4
uudecode,4
diff,4
cled_jct,3
emacs-20,3
xdvi.rea,3
xdvi,3
cled,3
tar,2
troff,2
dpost,2
less,2
compress,2
shownona,2
mimencod,2
capture,1
chkconfi,1
X,1
whoami,1
whereis,1
richtext,1
dev.moti,1
echo,1
resize,1
expreser,1
exrecove,1
false,1
fgrep,1
finger,1
talk,1
ispell,1
kill,1
lpq,1
man,1
egrep,1
