Vocalbulary,Count
generic,1631
sh,1168
cat,957
date,741
p,685
ls,665
tcpostio,646
rm,445
ln,374
[,361
sendmail,354
sed,348
lp,327
LOCK,325
true,266
FIFO,261
grep,249
find,246
hostname,223
mailx,207
virtex,194
expr,178
nawk,173
ppost,171
gethost,169
id,163
getpgrp,163
getopt,163
tcppost,162
download,162
file,158
awk,157
dvips,150
post,142
gs,139
ghostvie,130
launchef,128
emacs-20,125
rmdir,97
UNLOCK,96
netscape,95
hpost,86
gettxt,76
stty,73
tset,73
movemail,69
mkdir,58
dvipost,58
postprin,57
bc,57
pr,56
xterm,44
xrdb,42
cpp,42
tellwm,38
endsessi,38
csh,27
xhost,24
mkpts,23
rlogin,22
reaper,21
xsetroot,21
wait4wm,21
env,21
userenv,21
xdm,20
test,20
toolches,20
4Dwm,20
more,19
xprop,19
xconfirm,19
echo,19
tput,17
mail,14
lmstat,12
netstat,11
finger,11
pwd,11
lks,10
uname,9
maple.sy,9
MakeTeXP,8
touch,6
kill,5
xwsh,4
pq,4
compress,4
ps,3
dirname,3
xmaplev5,3
resize,2
MediaMai,2
PLATFORM,2
matlab_l,2
Slmclien,2
xdvi.rea,2
xdvi,2
Slmhelpe,2
gawk,2
xclock,2
xbiff,2
ispell,2
arch,2
cled,2
matlab,2
cled_jct,2
sleep,2
Sqpe,2
telnet,1
egrep,1
