Vocalbulary,Count
gcc,2667
nawk,1345
uname,1334
cpp,971
cc1,953
as,735
less,717
make,713
awk,467
spec,459
ld_,448
ld,448
cat,414
nm,411
flex,342
bison,273
tput,204
ls,165
sh,134
netscape,120
rm,117
mkpts,107
man,93
sed,87
hostname,74
col,73
gdb,73
sendmail,66
ksh,61
movemail,48
stty,44
frm,40
lex.spec,39
unpack,37
nroff,36
neqn,35
tbl,35
bash,31
more,30
ln,29
tty,29
emacs-20,28
fold,24
gawk,22
xemacs-1,21
justlex,21
generic,17
grep,16
lex,15
ex,15
finger,14
dbx,13
dbxpcs,13
netstat,12
ftp,12
tcsh,11
touch,11
wc,9
npasplit,9
whereis,9
virtex,9
which,9
date,9
foo,8
lp.orig,7
lpq,7
tail,7
driver,6
xrdb,6
head,6
rshd,6
gs,6
cfe,6
tcpostio,5
ghostvie,5
who,5
ul,5
gethost,4
true,4
mkdir,4
mailbox,4
ps,4
w,3
ppost,3
FIFO,3
justspec,3
expr,3
lpr,3
xdvi,2
cancel,2
getopt,2
cal,2
id,2
ispell,2
download,2
pq,2
showps,2
lp,2
LOCK,2
xdvi.rea,2
rlogin,2
pwd,2
dvips,2
whodo,1
as1,1
bc,1
a.out,1
where,1
UNLOCK,1
chmod,1
chown,1
dc,1
find,1
ugen,1
tset,1
file,1
postprin,1
getpgrp,1
tcppost,1
gzip,1
hpost,1
sort,1
sleep,1
nslookup,1
rmdir,1
p,1
xterm,1
