Vocalbulary,Count
maple.sy,1353
nawk,1114
sh,938
tcsh,893
gordon,627
ls,564
uname,544
less,503
cat,499
mapleTTY,479
Mail,475
hostname,456
stty,443
tset,404
mail,403
w3c,311
expr,308
netscape,307
magma.ex,257
xterm,239
grep,220
tput,186
ex,178
engine,176
gettxt,152
euphony3,134
sendmail,129
generic,129
virtex,122
rm,118
aacdec,113
gs,91
ln,68
sed,64
date,57
xdvi,56
xdvi.rea,56
emacs-20,54
tcpostio,52
netstat,48
gcc,46
driver,45
finger,44
twm,40
xbiff,39
gzip,39
make,39
xdm,39
xmodmap,38
xsetroot,38
xset,38
reaper,38
xprop,38
xhost,38
tellwm,38
endsessi,38
wait4wm,38
du,34
dirname,34
purify.s,34
find,31
man,30
pq,30
ld_,30
true,25
FIFO,25
fmt,24
lp,23
ghostvie,23
LOCK,22
sort,19
edg_prel,19
post,18
fecc,18
ps,18
euphony,17
ksh,17
cpp,17
nm_elf,16
col,16
cc1,16
basename,16
window_t,16
be,15
file,15
awk,14
download,13
as,13
aiffplay,13
gethost,13
unpack,12
id,12
getopt,12
rmdir,11
UNLOCK,11
dvips,11
tcppost,11
getpgrp,11
mkdir,11
ugen,9
as1,9
catalog,9
tbl,8
dbxpcs,8
dbx,8
neqn,8
nroff,8
diff,7
aupanel,6
dvipost,6
bc,6
cal,6
cfe,6
bison,6
gp,5
sum,5
touch,5
spec,5
edgcpfe,5
flex,5
gdb,5
ld,5
telnet,5
mkpts,4
hpost,4
tr,4
c++filt,3
wc,3
ppost,3
tar,3
tail,3
ispell,3
nm,3
patch,2
launchef,2
strings,2
xlsfonts,2
kludgepl,2
c++patch,2
mplottek,2
pg,2
bash,1
dict,1
df,1
MediaMai,1
lc,1
postprin,1
chmod,1
whereis,1
wdefine,1
testFont,1
nslookup,1
uudecode,1
mc,1
tty,1
cmp,1
top,1
pr,1
