Vocalbulary,Count
netscape,2651
sh,1472
sendmail,1364
generic,957
ls,573
cat,523
date,520
rm,416
acroread,405
tcpostio,357
MediaMai,336
pq,304
sed,282
true,270
lp,217
ln,216
LOCK,201
expr,186
hostname,159
post,154
FIFO,148
awk,139
mimencod,133
gs,128
nawk,121
tail,116
getopt,113
id,113
fgrep,112
grep,111
find,108
getpgrp,102
more,100
tcppost,99
file,95
showps,93
download,92
gethost,92
ghostvie,90
emacs-20,89
tr,75
uname,74
netstat,65
ppost,51
UNLOCK,51
rmdir,51
tset,46
stty,46
chmod,45
man,45
news,43
egrep,36
gzip,29
mkdir,29
metamail,28
col,25
p,25
ul,20
neqn,18
tbl,18
finger,18
nroff,18
hpost,17
bc,17
virtex,17
postprin,17
dvips,17
xterm,16
sgihelp,14
unpack,13
[,12
mc,12
lc,12
sort,12
convert,11
xconfirm,11
whoami,11
touch,10
rlogin,10
test,9
echo,9
mailx,8
spell,8
top,8
rshd,5
compress,5
run_swin,5
nslookup,5
webmagic,5
mailp,4
launchef,4
sprog,4
drf,4
mp,4
pr,4
gettxt,4
shownona,3
cancel,3
ps,3
perl,3
opnet,2
do.priso,2
endsessi,2
du,2
vim,2
cpp,2
telnet,2
sleep,2
xrdb,2
tellwm,2
userenv,1
wc,1
xsetroot,1
xdm,1
w,1
wait4wm,1
webify,1
xprop,1
who,1
xhost,1
xcalenda,1
4Dwm,1
toolches,1
ftp,1
X,1
basename,1
chkconfi,1
dirname,1
e,1
env,1
ex,1
help2,1
tar,1
lpq,1
mkpts,1
popper,1
reaper,1
richtext,1
splitmai,1
su,1
zip,1
