Vocalbulary,Count
sh,1477
echo,1040
generic,964
netscape,554
cat,513
ls,458
sendmail,427
date,413
ex,337
tcpostio,329
rm,321
true,296
grep,257
drag,240
sleep,210
sed,210
MediaMai,201
lp,195
egrep,181
ln,180
test,171
FIFO,171
more,160
pr,155
LOCK,151
make,143
expr,140
cfe,139
driver,139
xclock,137
hostname,131
getopt,124
find,121
nawk,121
id,121
ugen,120
as1,120
ld_,120
awk,118
uopt,118
gethost,116
stty,114
post,108
download,92
mc,91
lc,91
file,82
virtex,77
tcppost,76
uname,76
getpgrp,74
z,73
cpp,71
4Dwm,70
xrdb,70
xsetroot,70
reaper,69
xdm,69
appdefpa,68
faces,68
xset,67
tail,66
xmineswe,61
sort,61
ps,59
xprop,58
rmdir,58
xwsh,57
tr,57
acroread,56
mkdir,54
UNLOCK,54
mywsh,54
xrn,53
news,52
uuname,52
nlcrack,44
uniq,41
ppost,39
hippo,36
xdvi.rea,31
xdvi,31
gre,31
mp,29
gs,28
netstat,27
ghostvie,26
nlz,25
wc,24
hpost,22
dvipost,18
kill,17
metamail,16
dvips,16
bc,16
xterm,16
p,16
touch,14
spell,14
diff,13
pwd,13
postprin,13
mimencod,11
slide,11
nly,10
xxx,10
ksh,10
maple.sy,9
gettxt,8
[,8
nlcrack2,8
launchef,8
last,8
strings,7
sprog,7
tty,7
detex,7
kludgepl,6
hoc,6
aiffplay,6
drag2,6
pacdec,6
lint,6
pq,6
man,6
red,6
basename,5
pow,5
nlgen,5
zubs,5
cal,4
vis,4
doc2ps,4
col,4
endsessi,4
telnet,4
zz2,4
rlogin,4
nlx,4
tellwm,4
od,4
tput,3
dc,3
xpr,3
lint1,3
lint2,3
telno,3
xwd,3
Mosaic,3
mapleTTY,3
tset,3
mailx,2
r,2
xhost,2
dd,2
xconfirm,2
userenv,2
shownona,2
toolches,2
ul,2
env,2
du,2
unpack,2
mkpts,2
wait4wm,2
foo,2
who,2
domainna,1
tee,1
vt100,1
crnl,1
nslookup,1
nlz2,1
time,1
e,1
