Vocalbulary,Count
generic,1400
sh,1216
cat,878
date,657
[,589
sendmail,546
tcpostio,533
netscape,474
rm,414
ls,408
hostname,342
true,298
lp,271
ln,271
LOCK,261
gettxt,251
sed,246
FIFO,246
tset,235
launchef,224
mail,220
uname,214
stty,214
ppost,207
more,196
nawk,162
gethost,156
expr,147
grep,145
id,141
download,140
getopt,139
find,137
getpgrp,131
tcppost,130
file,130
awk,126
MediaMai,122
endsessi,122
post,114
tellwm,110
xwsh,104
rmdir,99
mkdir,99
UNLOCK,98
postprin,69
hpost,69
bc,69
xhost,62
env,62
reaper,62
userenv,62
wait4wm,62
cpp,62
xsetroot,62
xrdb,62
4Dwm,61
mailx,61
xconfirm,61
xterm,61
toolches,61
xdm,60
test,59
echo,59
xprop,55
mp,55
mkpts,54
tcsh,50
ed,23
a.out,21
touch,18
ex,18
man,16
col,16
emacs-20,13
telnet,10
sleep,10
fish4,10
ps,7
unpack,7
tput,6
pwd,5
netstat,5
pr,5
xauth,5
ssh,5
tail,5
ul,4
finger,3
printf,3
kill,3
fish2,3
rmail,2
fgrep,2
mc,1
mailp,1
frm,1
su,1
xclock,1
faces,1
suepope4,1
rcp,1
rshd,1
lc,1
compress,1
less,1
