Vocalbulary,Count
driver,1398
cfe,1144
as1,1014
ugen,1014
sh,1001
gcc,696
netscape,556
make,536
sendmail,427
nawk,381
cpp,379
uname,356
ld_,323
cc1,298
as,292
generic,287
cat,275
rm,273
ls,259
dd,191
gettxt,185
more,173
hostname,151
MediaMai,144
ksh,136
date,125
tcpostio,117
launchef,102
tr,96
mkdir,95
ln,94
rmdir,89
sed,84
endsessi,84
aus,79
touch,69
xmkmf,65
imake,65
ddd,65
gdb,59
lp,58
true,56
LOCK,55
FIFO,53
mkpts,52
ld,49
xterm,48
post,46
xconfirm,42
expr,39
which,38
stty,38
kmist,37
man,34
metamail,32
nm,31
id,31
getopt,31
grep,30
download,29
tcm8,29
gethost,29
tcppost,28
find,28
awk,28
file,27
getpgrp,27
twm,26
spec,25
flex,24
UNLOCK,24
tput,23
.xinitrc,23
col,23
t,21
ul,21
tellwm,20
unpack,20
xdm,19
acroread,18
rlogin,18
printf,17
less,17
xemacs-1,16
xset,16
top,15
bison,15
gnuplot,14
gzip,13
telnet,13
xprop,13
xrdb,13
lmstat,12
gnuplot_,12
ppost,12
ttcm8,11
mailp,11
ttcm,10
reaper,10
tcsh,10
ftp,10
netstat,10
toolches,10
xwsh,9
xhost,8
pwd,7
ps,7
env,7
tcm,7
csh,7
4Dwm,7
showps,6
userenv,6
ex,6
wait4wm,6
mp,6
xsetroot,6
faces,5
Mail,5
sleep,5
mail,5
neqn,4
nroff,4
hpost,4
chmod,4
mimencod,4
bc,4
tbl,4
postprin,4
whoami,4
xbiff,3
xclock,3
basename,3
xcalc,3
ypcat,3
tcm8a,3
setup,3
arch,2
gawk,2
emacs-20,2
gs,2
soundpla,2
bash,2
passwd,2
matlab,2
sgihelp,2
false,2
matlab_l,2
Slmclien,1
help.sor,1
dev.X11,1
mi,1
help.top,1
help2,1
hype,1
xman,1
ghostvie,1
help.fin,1
help,1
Sqpe,1
tcm8na,1
finger,1
shelpMot,1
sort,1
jot,1
tcm5na,1
kill,1
